event_id,query_id,query_text,sku,rank_position,clicked
E00073,Q0098,panier home decor for women,MIR0378,4,0
E00074,Q0067,sac gift pour femme,MIR0051,8,0
E00075,Q0101,cadeau rwanda,MIR0168,7,0
E00076,Q0058,cadeau maison,MIR0366,4,1
E00077,Q0068,sac cuir salon,MIR0191,4,0
E00078,Q0055,bag made in rwanda,MIR0209,5,0
E00079,Q0099,cuir bag kigali,MIR0146,7,0
E00080,Q0103,gift made in rwanda,MIR0071,8,0
E00081,Q0032,wallet made in rwanda,MIR0106,8,0
E00082,Q0029,cuir,MIR0212,8,0
E00083,Q0044,cadeau maison,MIR0077,1,0
E00084,Q0003,sac cuir femme kigali,MIR0168,9,0
E00085,Q0082,gift for mom,MIR0167,7,0
E00086,Q0085,decoration maison maison,MIR0198,6,0
E00087,Q0026,small wallet,MIR0390,4,1
E00088,Q0029,cuir,MIR0284,2,0
E00089,Q0026,small wallet,MIR0006,4,0
E00090,Q0061,basket for men,MIR0334,6,0
E00091,Q0048,belt for office,MIR0324,5,1
E00092,Q0045,jewelery,MIR0329,2,1
E00093,Q0066,bag in kigali,MIR0034,1,1
E00094,Q0020,bracelet femme,MIR0288,4,0
E00095,Q0010,beaded necklace women,MIR0168,4,0
E00096,Q0042,portefeuille rwanda,MIR0323,9,0
E00097,Q0021,lether bag,MIR0019,8,0
E00098,Q0087,wallet,MIR0041,5,0
E00099,Q0096,cadeau kigali,MIR0285,10,0
E00100,Q0062,bijoux salon,MIR0267,9,0
E00101,Q0011,earrings cadeau,MIR0038,6,0
E00102,Q0052,cadeau salon,MIR0349,4,0
E00103,Q0018,house warming gift,MIR0026,3,0
E00104,Q0041,decor home,MIR0265,8,0
E00105,Q0030,gift women,MIR0056,6,0
E00106,Q0076,leather in kigali,MIR0126,2,1
E00107,Q0082,gift for mom,MIR0379,3,0
E00108,Q0101,cadeau rwanda,MIR0039,7,0
E00109,Q0120,cadeau leather pour femme,MIR0238,9,0
E00110,Q0041,decor home,MIR0280,9,0
E00111,Q0120,cadeau leather pour femme,MIR0126,1,1
E00112,Q0013,table runner home,MIR0390,5,1
E00113,Q0088,belt for men,MIR0077,8,1
E00114,Q0105,sac gift kigali,MIR0168,2,1
E00115,Q0003,sac cuir femme kigali,MIR0237,5,0
E00116,Q0051,femme wallet kigali,MIR0376,6,0
E00117,Q0081,home decor made in rwanda,MIR0386,7,0
E00118,Q0089,cadeu,MIR0329,1,1
E00119,Q0098,panier home decor for women,MIR0098,6,0
E00120,Q0054,bag made in rwanda,MIR0342,8,0
E00121,Q0076,leather in kigali,MIR0118,10,0
E00122,Q0004,wallet gift men,MIR0324,7,0
E00123,Q0051,femme wallet kigali,MIR0091,8,0
E00124,Q0026,small wallet,MIR0373,3,0
E00125,Q0043,cuir bag for women,MIR0184,7,0
E00126,Q0037,femme wallet for women,MIR0380,4,0
E00127,Q0050,cadeau kigali,MIR0126,2,1
E00128,Q0062,bijoux salon,MIR0134,8,0
E00129,Q0049,leather made in rwanda,MIR0176,9,0
E00130,Q0113,cadeau leather kigali,MIR0126,2,0
E00131,Q0053,lether,MIR0329,1,1
E00132,Q0024,baskt home,MIR0285,1,1
E00133,Q0063,cuire bag,MIR0074,6,1
E00134,Q0065,wallet,MIR0373,1,0
E00135,Q0025,feme cadeau,MIR0051,5,1
E00136,Q0016,cuir portefeuille,MIR0250,1,0
E00137,Q0009,agaseke gift,MIR0329,4,0
E00138,Q0049,leather made in rwanda,MIR0165,10,0
E00139,Q0016,cuir portefeuille,MIR0284,5,0
E00140,Q0117,sac gift rwanda,MIR0030,10,0
E00141,Q0067,sac gift pour femme,MIR0071,7,0
E00142,Q0080,wallet for men,MIR0195,8,0
E00143,Q0028,decor,MIR0246,3,0
E00144,Q0120,cadeau leather pour femme,MIR0005,9,0
E00145,Q0080,wallet for men,MIR0238,7,0
E00146,Q0069,decor home,MIR0246,1,0
E00147,Q0070,deco basket rwanda,MIR0234,6,0
E00148,Q0079,belt for mom,MIR0135,3,1
E00149,Q0028,decor,MIR0395,7,0
E00150,Q0098,panier home decor for women,MIR0246,1,1
E00151,Q0049,leather made in rwanda,MIR0359,2,1
E00152,Q0094,sac cuir maison,MIR0284,4,0
E00153,Q0061,basket for men,MIR0285,2,1
E00154,Q0029,cuir,MIR0329,4,0
E00155,Q0011,earrings cadeau,MIR0113,8,0
E00156,Q0037,femme wallet for women,MIR0124,6,0
E00157,Q0020,bracelet femme,MIR0062,3,0
E00158,Q0060,basket for office,MIR0268,5,0
E00159,Q0086,bag in kigali,MIR0251,7,0
E00160,Q0010,beaded necklace women,MIR0249,9,1
E00161,Q0028,decor,MIR0074,5,0
E00162,Q0096,cadeau kigali,MIR0126,1,1
E00163,Q0067,sac gift pour femme,MIR0126,1,1
E00164,Q0119,dress for mom,MIR0099,5,0
E00165,Q0070,deco basket rwanda,MIR0043,5,0
E00166,Q0070,deco basket rwanda,MIR0329,3,1
E00167,Q0091,sac gift for women,MIR0313,3,0
E00168,Q0031,cadeau leather kigali,MIR0383,3,1
E00169,Q0037,femme wallet for women,MIR0221,5,0
E00170,Q0056,sac cuir maison,MIR0133,3,1
E00171,Q0030,gift women,MIR0247,9,0
E00172,Q0095,bag for home,MIR0034,9,0
E00173,Q0026,small wallet,MIR0373,2,0
E00174,Q0001,leather bag for women,MIR0083,10,0
E00175,Q0044,cadeau maison,MIR0191,3,0
E00176,Q0118,bijoux rwanda,MIR0197,10,0
E00177,Q0112,bijoux pour femme,MIR0363,8,1
E00178,Q0077,panier pour femme,MIR0252,3,1
E00179,Q0073,cuir bag pour femme,MIR0237,2,1
E00180,Q0071,wallet made in rwanda,MIR0373,2,1
E00181,Q0106,dress made in rwanda,MIR0175,4,1
E00182,Q0088,belt for men,MIR0007,4,0
E00183,Q0099,cuir bag kigali,MIR0359,6,0
E00184,Q0039,deco basket pour femme,MIR0250,8,0
E00185,Q0030,gift women,MIR0284,3,0
E00186,Q0094,sac cuir maison,MIR0133,3,1
E00187,Q0053,lether,MIR0373,8,0
E00188,Q0111,decor home,MIR0352,6,0
E00189,Q0055,bag made in rwanda,MIR0043,10,0
E00190,Q0030,gift women,MIR0284,1,0
E00191,Q0022,cadeu cuir,MIR0278,1,1
E00192,Q0077,panier pour femme,MIR0083,10,0
E00193,Q0034,basket in kigali,MIR0291,7,0
E00194,Q0053,lether,MIR0073,3,0
E00195,Q0031,cadeau leather kigali,MIR0074,10,0
E00196,Q0038,panier home decor kigali,MIR0084,3,1
E00197,Q0064,cuir bag kigali,MIR0382,3,0
E00198,Q0109,earrings for home,MIR0056,2,1
E00199,Q0086,bag in kigali,MIR0349,6,1
E00200,Q0094,sac cuir maison,MIR0162,8,0
E00201,Q0019,basket set,MIR0329,5,0
E00202,Q0076,leather in kigali,MIR0300,10,0
E00203,Q0103,gift made in rwanda,MIR0168,3,0
E00204,Q0041,decor home,MIR0246,2,1
E00205,Q0038,panier home decor kigali,MIR0246,1,0
E00206,Q0035,portefeuille pour femme,MIR0068,1,0
E00207,Q0071,wallet made in rwanda,MIR0373,1,1
E00208,Q0008,panier decoration salon,MIR0248,7,0
E00209,Q0080,wallet for men,MIR0021,2,0
E00210,Q0042,portefeuille rwanda,MIR0003,8,0
E00211,Q0113,cadeau leather kigali,MIR0205,8,0
E00212,Q0006,sandals cuir femme,MIR0248,3,0
E00213,Q0104,portefeuille pour femme,MIR0126,2,1
E00214,Q0003,sac cuir femme kigali,MIR0237,2,0
E00215,Q0077,panier pour femme,MIR0229,8,0
E00216,Q0017,gift for mom rwanda,MIR0312,4,0
E00217,Q0111,decor home,MIR0378,8,0
E00218,Q0001,leather bag for women,MIR0032,7,0
E00219,Q0010,beaded necklace women,MIR0285,7,0
E00220,Q0070,deco basket rwanda,MIR0329,4,0
E00221,Q0041,decor home,MIR0122,7,0
E00222,Q0031,cadeau leather kigali,MIR0285,1,1
E00223,Q0098,panier home decor for women,MIR0086,10,0
E00224,Q0057,wallet for mom,MIR0188,7,0
E00225,Q0061,basket for men,MIR0285,4,1
E00226,Q0115,decoration maison pour femme,MIR0126,1,1
E00227,Q0037,femme wallet for women,MIR0233,7,0
E00228,Q0034,basket in kigali,MIR0055,9,0
E00229,Q0040,cadeau rwanda,MIR0200,3,0
E00230,Q0065,wallet,MIR0118,9,0
E00231,Q0003,sac cuir femme kigali,MIR0237,3,1
E00232,Q0067,sac gift pour femme,MIR0022,9,0
E00233,Q0083,home decor for women,MIR0144,3,0
E00234,Q0021,lether bag,MIR0067,1,0
E00235,Q0070,deco basket rwanda,MIR0329,2,0
E00236,Q0099,cuir bag kigali,MIR0203,7,0
E00237,Q0037,femme wallet for women,MIR0274,10,1
E00238,Q0031,cadeau leather kigali,MIR0126,2,1
E00239,Q0076,leather in kigali,MIR0126,1,1
E00240,Q0050,cadeau kigali,MIR0152,7,0
E00241,Q0068,sac cuir salon,MIR0203,6,0
E00242,Q0091,sac gift for women,MIR0202,5,1
E00243,Q0114,panier home decor pour femme,MIR0246,5,0
E00244,Q0086,bag in kigali,MIR0034,4,1
E00245,Q0002,cadeau en cuir pour femme,MIR0237,5,0
E00246,Q0113,cadeau leather kigali,MIR0225,6,0
E00247,Q0033,cuir bag kigali,MIR0050,5,1
E00248,Q0035,portefeuille pour femme,MIR0126,1,1
E00249,Q0085,decoration maison maison,MIR0329,2,0
E00250,Q0047,baskt,MIR0352,9,0
E00251,Q0025,feme cadeau,MIR0126,1,1
E00252,Q0028,decor,MIR0158,10,0
E00253,Q0062,bijoux salon,MIR0125,6,0
E00254,Q0039,deco basket pour femme,MIR0340,9,0
E00255,Q0011,earrings cadeau,MIR0276,7,0
E00256,Q0070,deco basket rwanda,MIR0319,6,0
E00257,Q0003,sac cuir femme kigali,MIR0021,6,0
E00258,Q0058,cadeau maison,MIR0126,2,0
E00259,Q0056,sac cuir maison,MIR0275,6,0
E00260,Q0040,cadeau rwanda,MIR0238,7,0
E00261,Q0036,wallet in kigali,MIR0284,7,0
E00262,Q0015,crossbody leather,MIR0364,4,1
E00263,Q0103,gift made in rwanda,MIR0168,1,1
E00264,Q0001,leather bag for women,MIR0385,2,1
E00265,Q0104,portefeuille pour femme,MIR0089,5,0
E00266,Q0065,wallet,MIR0382,10,0
E00267,Q0031,cadeau leather kigali,MIR0285,9,0
E00268,Q0003,sac cuir femme kigali,MIR0237,2,0
E00269,Q0007,home decor basket,MIR0284,8,0
E00270,Q0007,home decor basket,MIR0368,2,0
E00271,Q0098,panier home decor for women,MIR0246,5,0
E00272,Q0011,earrings cadeau,MIR0271,6,0
E00273,Q0060,basket for office,MIR0126,6,0
E00274,Q0073,cuir bag pour femme,MIR0237,1,0
E00275,Q0104,portefeuille pour femme,MIR0172,5,1
E00276,Q0063,cuire bag,MIR0034,4,0
E00277,Q0112,bijoux pour femme,MIR0230,5,0
E00278,Q0029,cuir,MIR0039,9,0
E00279,Q0038,panier home decor kigali,MIR0246,5,0
E00280,Q0030,gift women,MIR0284,4,1
E00281,Q0042,portefeuille rwanda,MIR0329,2,0
E00282,Q0091,sac gift for women,MIR0138,9,0
E00283,Q0082,gift for mom,MIR0001,9,1
E00284,Q0120,cadeau leather pour femme,MIR0323,6,0
E00285,Q0109,earrings for home,MIR0326,1,1
E00286,Q0033,cuir bag kigali,MIR0252,1,1
E00287,Q0035,portefeuille pour femme,MIR0187,8,0
E00288,Q0065,wallet,MIR0175,10,0
E00289,Q0050,cadeau kigali,MIR0368,9,0
E00290,Q0067,sac gift pour femme,MIR0189,9,0
E00291,Q0101,cadeau rwanda,MIR0285,10,0
E00292,Q0081,home decor made in rwanda,MIR0305,6,0
E00293,Q0059,panier home decor rwanda,MIR0246,3,0
E00294,Q0073,cuir bag pour femme,MIR0063,6,0
E00295,Q0086,bag in kigali,MIR0168,8,0
E00296,Q0048,belt for office,MIR0235,8,1
E00297,Q0076,leather in kigali,MIR0234,10,0
E00298,Q0098,panier home decor for women,MIR0280,8,0
E00299,Q0116,femme wallet for women,MIR0395,7,0
E00300,Q0112,bijoux pour femme,MIR0310,8,0
E00301,Q0019,basket set,MIR0358,1,1
E00302,Q0044,cadeau maison,MIR0211,6,0
E00303,Q0011,earrings cadeau,MIR0348,10,0
E00304,Q0005,belt leather rwanda,MIR0330,2,1
E00305,Q0018,house warming gift,MIR0329,7,0
E00306,Q0070,deco basket rwanda,MIR0071,8,0
E00307,Q0107,dress for office,MIR0363,8,0
E00308,Q0038,panier home decor kigali,MIR0199,6,0
E00309,Q0120,cadeau leather pour femme,MIR0228,2,0
E00310,Q0062,bijoux salon,MIR0329,2,0
E00311,Q0059,panier home decor rwanda,MIR0253,6,0
E00312,Q0085,decoration maison maison,MIR0210,10,0
E00313,Q0021,lether bag,MIR0356,3,0
E00314,Q0101,cadeau rwanda,MIR0129,10,0
E00315,Q0016,cuir portefeuille,MIR0136,3,0
E00316,Q0099,cuir bag kigali,MIR0108,4,0
E00317,Q0007,home decor basket,MIR0298,1,0
E00318,Q0097,basket for office,MIR0167,8,0
E00319,Q0094,sac cuir maison,MIR0138,4,0
E00320,Q0009,agaseke gift,MIR0329,3,0
E00321,Q0105,sac gift kigali,MIR0384,8,0
E00322,Q0032,wallet made in rwanda,MIR0063,9,0
E00323,Q0025,feme cadeau,MIR0126,5,1
E00324,Q0028,decor,MIR0087,10,0
E00325,Q0078,sac gift rwanda,MIR0364,4,0
E00326,Q0083,home decor for women,MIR0246,4,1
E00327,Q0037,femme wallet for women,MIR0120,3,0
E00328,Q0101,cadeau rwanda,MIR0275,10,0
E00329,Q0107,dress for office,MIR0084,3,1
E00330,Q0117,sac gift rwanda,MIR0246,7,0
E00331,Q0070,deco basket rwanda,MIR0095,4,0
E00332,Q0063,cuire bag,MIR0034,1,1
E00333,Q0099,cuir bag kigali,MIR0027,7,0
E00334,Q0040,cadeau rwanda,MIR0126,2,1
E00335,Q0104,portefeuille pour femme,MIR0092,8,0
E00336,Q0023,jewelery gift,MIR0168,3,1
E00337,Q0017,gift for mom rwanda,MIR0360,9,1
E00338,Q0024,baskt home,MIR0364,5,0
E00339,Q0028,decor,MIR0246,3,1
E00340,Q0044,cadeau maison,MIR0156,5,0
E00341,Q0033,cuir bag kigali,MIR0136,1,0
E00342,Q0031,cadeau leather kigali,MIR0126,4,0
E00343,Q0019,basket set,MIR0203,10,0
E00344,Q0010,beaded necklace women,MIR0168,5,0
E00345,Q0073,cuir bag pour femme,MIR0237,4,0
E00346,Q0010,beaded necklace women,MIR0308,4,0
E00347,Q0034,basket in kigali,MIR0012,6,0
E00348,Q0107,dress for office,MIR0099,1,0
E00349,Q0082,gift for mom,MIR0071,6,0
E00350,Q0080,wallet for men,MIR0221,1,0
E00351,Q0105,sac gift kigali,MIR0353,2,0
E00352,Q0088,belt for men,MIR0331,8,0
E00353,Q0056,sac cuir maison,MIR0284,2,0
E00354,Q0050,cadeau kigali,MIR0338,7,0
E00355,Q0116,femme wallet for women,MIR0290,7,0
E00356,Q0113,cadeau leather kigali,MIR0236,3,0
E00357,Q0018,house warming gift,MIR0112,8,0
E00358,Q0096,cadeau kigali,MIR0188,10,0
E00359,Q0021,lether bag,MIR0034,1,1
E00360,Q0086,bag in kigali,MIR0111,9,0
E00361,Q0035,portefeuille pour femme,MIR0043,6,0
E00362,Q0052,cadeau salon,MIR0198,3,1
E00363,Q0030,gift women,MIR0076,3,0
E00364,Q0037,femme wallet for women,MIR0221,3,1
E00365,Q0006,sandals cuir femme,MIR0142,5,0
E00366,Q0075,bag in kigali,MIR0381,8,0
E00367,Q0081,home decor made in rwanda,MIR0327,7,0
E00368,Q0084,earrings in kigali,MIR0041,9,0
E00369,Q0116,femme wallet for women,MIR0346,7,0
E00370,Q0026,small wallet,MIR0373,1,0
E00371,Q0116,femme wallet for women,MIR0150,6,0
E00372,Q0025,feme cadeau,MIR0126,2,1
E00373,Q0017,gift for mom rwanda,MIR0241,2,0
E00374,Q0094,sac cuir maison,MIR0178,6,0
E00375,Q0002,cadeau en cuir pour femme,MIR0237,3,1
E00376,Q0002,cadeau en cuir pour femme,MIR0237,3,0
E00377,Q0075,bag in kigali,MIR0330,7,0
E00378,Q0015,crossbody leather,MIR0234,10,1
E00379,Q0050,cadeau kigali,MIR0122,4,0
E00380,Q0101,cadeau rwanda,MIR0257,4,0
E00381,Q0003,sac cuir femme kigali,MIR0224,6,0
E00382,Q0038,panier home decor kigali,MIR0380,8,0
E00383,Q0056,sac cuir maison,MIR0198,5,1
E00384,Q0051,femme wallet kigali,MIR0282,7,1
E00385,Q0096,cadeau kigali,MIR0262,5,0
E00386,Q0072,decoration maison pour homme,MIR0211,3,0
E00387,Q0084,earrings in kigali,MIR0124,6,0
E00388,Q0031,cadeau leather kigali,MIR0126,3,0
E00389,Q0072,decoration maison pour homme,MIR0187,3,0
E00390,Q0008,panier decoration salon,MIR0015,3,0
E00391,Q0040,cadeau rwanda,MIR0126,3,0
E00392,Q0030,gift women,MIR0252,10,0
E00393,Q0043,cuir bag for women,MIR0053,9,0
E00394,Q0120,cadeau leather pour femme,MIR0001,3,0
E00395,Q0002,cadeau en cuir pour femme,MIR0295,9,0
E00396,Q0085,decoration maison maison,MIR0391,5,1
E00397,Q0120,cadeau leather pour femme,MIR0126,1,1
E00398,Q0079,belt for mom,MIR0214,9,0
E00399,Q0112,bijoux pour femme,MIR0133,10,0
E00400,Q0015,crossbody leather,MIR0085,7,0
E00401,Q0098,panier home decor for women,MIR0218,8,0
E00402,Q0079,belt for mom,MIR0336,8,0
E00403,Q0065,wallet,MIR0212,7,0
E00404,Q0104,portefeuille pour femme,MIR0166,9,0
E00405,Q0035,portefeuille pour femme,MIR0272,5,0
E00406,Q0025,feme cadeau,MIR0358,6,0
E00407,Q0112,bijoux pour femme,MIR0126,1,1
E00408,Q0100,femme wallet for women,MIR0221,3,0
E00409,Q0063,cuire bag,MIR0212,8,1
E00410,Q0058,cadeau maison,MIR0114,6,0
E00411,Q0077,panier pour femme,MIR0126,5,1
E00412,Q0021,lether bag,MIR0034,5,0
E00413,Q0020,bracelet femme,MIR0046,3,1
E00414,Q0105,sac gift kigali,MIR0125,9,0
E00415,Q0116,femme wallet for women,MIR0293,7,1
E00416,Q0070,deco basket rwanda,MIR0396,10,0
E00417,Q0011,earrings cadeau,MIR0087,1,1
E00418,Q0083,home decor for women,MIR0246,4,0
E00419,Q0009,agaseke gift,MIR0329,5,0
E00420,Q0016,cuir portefeuille,MIR0069,5,0
E00421,Q0022,cadeu cuir,MIR0088,6,1
E00422,Q0015,crossbody leather,MIR0034,1,0
E00423,Q0009,agaseke gift,MIR0238,6,1
E00424,Q0043,cuir bag for women,MIR0284,5,1
E00425,Q0055,bag made in rwanda,MIR0182,1,1
E00426,Q0037,femme wallet for women,MIR0105,10,1
E00427,Q0010,beaded necklace women,MIR0145,9,0
E00428,Q0086,bag in kigali,MIR0034,5,0
E00429,Q0028,decor,MIR0246,4,0
E00430,Q0017,gift for mom rwanda,MIR0074,6,0
E00431,Q0030,gift women,MIR0378,10,1
E00432,Q0067,sac gift pour femme,MIR0126,2,1
E00433,Q0053,lether,MIR0297,10,0
E00434,Q0022,cadeu cuir,MIR0284,1,0
E00435,Q0096,cadeau kigali,MIR0273,3,0
E00436,Q0110,lether,MIR0212,10,0
E00437,Q0076,leather in kigali,MIR0126,3,0
E00438,Q0036,wallet in kigali,MIR0351,6,0
E00439,Q0099,cuir bag kigali,MIR0309,9,0
E00440,Q0112,bijoux pour femme,MIR0114,5,1
E00441,Q0030,gift women,MIR0384,4,0
E00442,Q0065,wallet,MIR0344,4,0
E00443,Q0033,cuir bag kigali,MIR0108,4,0
E00444,Q0117,sac gift rwanda,MIR0287,10,0
E00445,Q0069,decor home,MIR0122,3,0
E00446,Q0110,lether,MIR0329,2,1
E00447,Q0077,panier pour femme,MIR0080,7,1
E00448,Q0047,baskt,MIR0237,5,1
E00449,Q0052,cadeau salon,MIR0126,2,0
E00450,Q0035,portefeuille pour femme,MIR0376,4,0
E00451,Q0073,cuir bag pour femme,MIR0237,2,1
E00452,Q0092,bijoux salon,MIR0329,1,1
E00453,Q0037,femme wallet for women,MIR0282,3,0
E00454,Q0033,cuir bag kigali,MIR0270,6,0
E00455,Q0035,portefeuille pour femme,MIR0126,4,0
E00456,Q0087,wallet,MIR0370,10,0
E00457,Q0037,femme wallet for women,MIR0316,7,0
E00458,Q0093,panier rwanda,MIR0116,9,0
E00459,Q0104,portefeuille pour femme,MIR0203,10,0
E00460,Q0096,cadeau kigali,MIR0165,4,0
E00461,Q0017,gift for mom rwanda,MIR0241,1,0
E00462,Q0110,lether,MIR0300,6,0
E00463,Q0050,cadeau kigali,MIR0126,2,1
E00464,Q0059,panier home decor rwanda,MIR0354,6,0
E00465,Q0096,cadeau kigali,MIR0217,7,1
E00466,Q0044,cadeau maison,MIR0112,4,1
E00467,Q0082,gift for mom,MIR0178,8,0
E00468,Q0064,cuir bag kigali,MIR0200,5,0
E00469,Q0001,leather bag for women,MIR0163,5,0
E00470,Q0023,jewelery gift,MIR0214,10,0
E00471,Q0104,portefeuille pour femme,MIR0110,4,1
E00472,Q0047,baskt,MIR0196,4,0
E00473,Q0084,earrings in kigali,MIR0087,4,0
E00474,Q0066,bag in kigali,MIR0250,10,0
E00475,Q0078,sac gift rwanda,MIR0299,7,0
E00476,Q0083,home decor for women,MIR0203,9,0
E00477,Q0098,panier home decor for women,MIR0065,7,1
E00478,Q0058,cadeau maison,MIR0126,2,0
E00479,Q0065,wallet,MIR0122,7,0
E00480,Q0013,table runner home,MIR0363,9,0
E00481,Q0011,earrings cadeau,MIR0333,7,0
E00482,Q0073,cuir bag pour femme,MIR0308,3,1
E00483,Q0006,sandals cuir femme,MIR0088,6,0
E00484,Q0041,decor home,MIR0054,5,0
E00485,Q0021,lether bag,MIR0034,1,0
E00486,Q0082,gift for mom,MIR0083,7,1
E00487,Q0038,panier home decor kigali,MIR0246,5,0
E00488,Q0072,decoration maison pour homme,MIR0126,2,0
E00489,Q0029,cuir,MIR0019,8,0
E00490,Q0093,panier rwanda,MIR0035,10,0
E00491,Q0044,cadeau maison,MIR0221,9,0
E00492,Q0094,sac cuir maison,MIR0344,9,0
E00493,Q0060,basket for office,MIR0114,6,0
E00494,Q0002,cadeau en cuir pour femme,MIR0086,8,0
E00495,Q0039,deco basket pour femme,MIR0126,3,0
E00496,Q0102,home decor for men,MIR0246,2,1
E00497,Q0055,bag made in rwanda,MIR0122,6,0
E00498,Q0107,dress for office,MIR0123,10,0
E00499,Q0082,gift for mom,MIR0181,8,0
E00500,Q0096,cadeau kigali,MIR0311,6,0
E00501,Q0056,sac cuir maison,MIR0284,2,1
E00502,Q0047,baskt,MIR0354,9,0
E00503,Q0083,home decor for women,MIR0153,10,0
E00504,Q0015,crossbody leather,MIR0034,1,0
E00505,Q0024,baskt home,MIR0248,6,1
E00506,Q0006,sandals cuir femme,MIR0039,10,0
E00507,Q0098,panier home decor for women,MIR0238,5,0
E00508,Q0082,gift for mom,MIR0293,5,0
E00509,Q0040,cadeau rwanda,MIR0061,8,0
E00510,Q0040,cadeau rwanda,MIR0214,1,1
E00511,Q0030,gift women,MIR0001,8,0
E00512,Q0113,cadeau leather kigali,MIR0326,9,0
E00513,Q0046,decoration maison kigali,MIR0227,6,0
E00514,Q0006,sandals cuir femme,MIR0088,9,0
E00515,Q0006,sandals cuir femme,MIR0050,1,0
E00516,Q0006,sandals cuir femme,MIR0200,8,0
E00517,Q0007,home decor basket,MIR0246,3,0
E00518,Q0098,panier home decor for women,MIR0246,1,1
E00519,Q0067,sac gift pour femme,MIR0126,1,0
E00520,Q0092,bijoux salon,MIR0214,3,0
E00521,Q0020,bracelet femme,MIR0269,10,0
E00522,Q0108,decor home,MIR0246,1,0
E00523,Q0036,wallet in kigali,MIR0303,7,0
E00524,Q0064,cuir bag kigali,MIR0393,5,0
