sku,title,description,category,material,origin_district,price_rwf,artisan_id
MIR0061,Traditional Wall Basket,crafted in small batches. banana fiber piece from Nyanza.,basketry,banana fiber,Nyanza,9500,ART038
MIR0062,Premium Passport Case,cadeau en cuir pour femme. goat leather piece from Gicumbi.,leather,goat leather,Gicumbi,115500,ART067
MIR0063,Lightweight Wall Basket,handwoven by cooperatives. sisal piece from Kicukiro.,basketry,sisal,Kicukiro,25500,ART027
MIR0064,Gift-Ready Pendant Set,small artisan workshop. silver tone metal piece from Bugesera.,jewellery,silver tone metal,Bugesera,40500,ART089
MIR0065,Functional Storage Basket,crafted in small batches. sisal piece from Nyagatare.,basketry,sisal,Nyagatare,31000,ART007
MIR0066,Lightweight Agaseke Basket,natural texture finish. raffia piece from Muhanga.,basketry,raffia,Muhanga,42000,ART073
MIR0067,Functional Fruit Basket,natural texture finish. sisal piece from Gasabo.,basketry,sisal,Gasabo,43000,ART005
MIR0068,Durable Tote Bag,finished by local artisans. cow leather piece from Bugesera.,leather,cow leather,Bugesera,110500,ART061
MIR0069,Elegant Wrap Skirt,locally tailored fit. kitenge cotton piece from Gicumbi.,apparel,kitenge cotton,Gicumbi,31000,ART067
MIR0070,Durable Card Holder,clean handmade stitching. cow leather piece from Bugesera.,leather,cow leather,Bugesera,98000,ART022
MIR0071,Artisan Tailored Shirt,locally tailored fit. organic cotton piece from Gasabo.,apparel,organic cotton,Gasabo,23500,ART086
MIR0072,Soft Sandals,finished by local artisans. cow leather piece from Karongi.,leather,cow leather,Karongi,135500,ART037
MIR0073,Handmade Ceramic Vase,simple artisan finish. wood piece from Musanze.,home-decor,wood,Musanze,50500,ART038
MIR0074,Classic Wallet,finished by local artisans. cuir artisanal piece from Bugesera.,leather,cuir artisanal,Bugesera,93500,ART027
MIR0075,Modern Light Jacket,bold print accents. kitenge cotton piece from Rubavu.,apparel,kitenge cotton,Rubavu,57500,ART050
MIR0076,Classic Crossbody Bag,everyday city use. cow leather piece from Rusizi.,leather,cow leather,Rusizi,111000,ART031
MIR0077,Hand-Stitched Wallet,ideal gift for women. vegetable tanned leather piece from Kayonza.,leather,vegetable tanned leather,Kayonza,119000,ART058
MIR0078,Traditional Fruit Basket,handwoven by cooperatives. sisal piece from Kicukiro.,basketry,sisal,Kicukiro,45000,ART052
MIR0079,Decorative Woven Tray,natural texture finish. banana fiber piece from Muhanga.,basketry,banana fiber,Muhanga,25000,ART006
MIR0080,Bright Anklet,hand-assembled details. silver tone metal piece from Huye.,jewellery,silver tone metal,Huye,33000,ART013
MIR0081,Woven Agaseke Basket,handwoven by cooperatives. raffia piece from Musanze.,basketry,raffia,Musanze,17000,ART050
MIR0082,Hand-Stitched Belt,everyday city use. full grain leather piece from Bugesera.,leather,full grain leather,Bugesera,70000,ART031
MIR0083,Gift-Ready Anklet,inspired by local motifs. horn piece from Karongi.,jewellery,horn,Karongi,78500,ART046
MIR0084,Modern Tailored Shirt,locally tailored fit. linen blend piece from Huye.,apparel,linen blend,Huye,27000,ART022
MIR0085,Artisan Festival Top,locally tailored fit. kitenge cotton piece from Rwamagana.,apparel,kitenge cotton,Rwamagana,21000,ART089
MIR0086,Elegant Light Jacket,bold print accents. organic cotton piece from Gasabo.,apparel,organic cotton,Gasabo,22500,ART027
MIR0087,Bright Earrings,small artisan workshop. brass piece from Nyarugenge.,jewellery,brass,Nyarugenge,6000,ART032
MIR0088,Premium Crossbody Bag,everyday city use. vegetable tanned leather piece from Musanze.,leather,vegetable tanned leather,Musanze,120000,ART072
MIR0089,Everyday Wrap Skirt,bold print accents. linen blend piece from Rwamagana.,apparel,linen blend,Rwamagana,42000,ART086
MIR0090,Durable Sandals,ideal gift for women. cuir artisanal piece from Rusizi.,leather,cuir artisanal,Rusizi,120500,ART082
MIR0091,Classic Light Jacket,hand-finished seams. kitenge cotton piece from Muhanga.,apparel,kitenge cotton,Muhanga,33000,ART029
MIR0092,Lightweight Wall Basket,crafted in small batches. banana fiber piece from Karongi.,basketry,banana fiber,Karongi,22500,ART047
MIR0093,Premium Tote Bag,clean handmade stitching. cuir artisanal piece from Kayonza.,leather,cuir artisanal,Kayonza,52500,ART067
MIR0094,Premium Tote Bag,cadeau en cuir pour femme. goat leather piece from Muhanga.,leather,goat leather,Muhanga,75000,ART006
MIR0095,Soft Crossbody Bag,clean handmade stitching. full grain leather piece from Rubavu.,leather,full grain leather,Rubavu,129500,ART005
MIR0096,Decorative Agaseke Basket,crafted in small batches. raffia piece from Karongi.,basketry,raffia,Karongi,33000,ART006
MIR0097,Durable Belt,ideal gift for women. cuir artisanal piece from Rubavu.,leather,cuir artisanal,Rubavu,44000,ART045
MIR0098,Classic Light Jacket,comfortable daily wear. kitenge cotton piece from Rubavu.,apparel,kitenge cotton,Rubavu,57500,ART011
MIR0099,Classic Kitenge Dress,comfortable daily wear. kitenge cotton piece from Rwamagana.,apparel,kitenge cotton,Rwamagana,10500,ART025
MIR0100,Modern Cushion Cover,crafted for everyday decor. ceramic piece from Muhanga.,home-decor,ceramic,Muhanga,77000,ART071
MIR0101,Textured Wall Hanging,adds warmth to living room. wood piece from Rubavu.,home-decor,wood,Rubavu,83000,ART054
MIR0102,Functional Fruit Basket,good for home storage. banana fiber piece from Huye.,basketry,banana fiber,Huye,18000,ART021
MIR0103,Hand-Stitched Crossbody Bag,everyday city use. vegetable tanned leather piece from Gasabo.,leather,vegetable tanned leather,Gasabo,131000,ART045
MIR0104,Warm Ceramic Vase,crafted for everyday decor. kitenge cotton piece from Nyanza.,home-decor,kitenge cotton,Nyanza,18500,ART005
MIR0105,Gift-Ready Beaded Necklace,hand-assembled details. brass piece from Gasabo.,jewellery,brass,Gasabo,66500,ART084
MIR0106,Delicate Beaded Necklace,lightweight for daily use. brass piece from Rusizi.,jewellery,brass,Rusizi,24000,ART056
MIR0107,Soft Tote Bag,cadeau en cuir pour femme. goat leather piece from Muhanga.,leather,goat leather,Muhanga,80000,ART062
MIR0108,Durable Tote Bag,everyday city use. cuir artisanal piece from Rwamagana.,leather,cuir artisanal,Rwamagana,34500,ART056
MIR0109,Elegant Festival Top,comfortable daily wear. linen blend piece from Gicumbi.,apparel,linen blend,Gicumbi,23000,ART027
MIR0110,Modern Wood Candle Holder,simple artisan finish. ceramic piece from Kayonza.,home-decor,ceramic,Kayonza,88500,ART055
MIR0111,Durable Tote Bag,ideal gift for women. full grain leather piece from Gicumbi.,leather,full grain leather,Gicumbi,87500,ART014
MIR0112,Classic Wrap Skirt,locally tailored fit. organic cotton piece from Rubavu.,apparel,organic cotton,Rubavu,32000,ART020
MIR0113,Durable Sandals,clean handmade stitching. cuir artisanal piece from Kicukiro.,leather,cuir artisanal,Kicukiro,113500,ART078
MIR0114,Lightweight Storage Basket,good for home storage. sisal piece from Rusizi.,basketry,sisal,Rusizi,34000,ART015
MIR0115,Elegant Festival Top,comfortable daily wear. kitenge cotton piece from Karongi.,apparel,kitenge cotton,Karongi,16000,ART075
MIR0116,Warm Wood Candle Holder,simple artisan finish. ceramic piece from Musanze.,home-decor,ceramic,Musanze,19000,ART012
MIR0117,Minimal Pendant Set,inspired by local motifs. brass piece from Nyarugenge.,jewellery,brass,Nyarugenge,15000,ART072
MIR0118,Bright Anklet,inspired by local motifs. brass piece from Bugesera.,jewellery,brass,Bugesera,79500,ART002
MIR0119,Soft Sandals,cadeau en cuir pour femme. goat leather piece from Kicukiro.,leather,goat leather,Kicukiro,24500,ART052
MIR0120,Traditional Woven Tray,handwoven by cooperatives. raffia piece from Nyarugenge.,basketry,raffia,Nyarugenge,16000,ART056
MIR0121,Woven Wall Basket,natural texture finish. raffia piece from Muhanga.,basketry,raffia,Muhanga,18500,ART012
MIR0122,Functional Wall Basket,handwoven by cooperatives. banana fiber piece from Nyarugenge.,basketry,banana fiber,Nyarugenge,29000,ART002
MIR0123,Modern Kitenge Dress,comfortable daily wear. linen blend piece from Bugesera.,apparel,linen blend,Bugesera,43500,ART076
MIR0124,Premium Sandals,finished by local artisans. vegetable tanned leather piece from Rwamagana.,leather,vegetable tanned leather,Rwamagana,105500,ART036
MIR0125,Elegant Light Jacket,bold print accents. linen blend piece from Muhanga.,apparel,linen blend,Muhanga,49000,ART025
MIR0126,Premium Passport Case,cadeau en cuir pour femme. vegetable tanned leather piece from Bugesera.,leather,vegetable tanned leather,Bugesera,13500,ART047
MIR0127,Classic Tote Bag,everyday city use. goat leather piece from Rwamagana.,leather,goat leather,Rwamagana,141500,ART039
MIR0128,Elegant Kitenge Dress,hand-finished seams. linen blend piece from Nyanza.,apparel,linen blend,Nyanza,47000,ART036
MIR0129,Classic Light Jacket,hand-finished seams. organic cotton piece from Kayonza.,apparel,organic cotton,Kayonza,47000,ART024
MIR0130,Functional Agaseke Basket,handwoven by cooperatives. banana fiber piece from Kayonza.,basketry,banana fiber,Kayonza,13500,ART083
MIR0131,Everyday Tailored Shirt,bold print accents. linen blend piece from Karongi.,apparel,linen blend,Karongi,45000,ART058
MIR0132,Modern Cushion Cover,designed for small spaces. ceramic piece from Kicukiro.,home-decor,ceramic,Kicukiro,67500,ART067
MIR0133,Decorative Fruit Basket,handwoven by cooperatives. banana fiber piece from Muhanga.,basketry,banana fiber,Muhanga,36000,ART040
MIR0134,Classic Passport Case,everyday city use. cuir artisanal piece from Gicumbi.,leather,cuir artisanal,Gicumbi,26000,ART072
MIR0135,Lightweight Agaseke Basket,handwoven by cooperatives. raffia piece from Karongi.,basketry,raffia,Karongi,13500,ART042
MIR0136,Artisan Festival Top,bold print accents. organic cotton piece from Gicumbi.,apparel,organic cotton,Gicumbi,58500,ART065
MIR0137,Textured Ceramic Vase,designed for small spaces. sisal piece from Rubavu.,home-decor,sisal,Rubavu,54500,ART032
MIR0138,Durable Sandals,everyday city use. vegetable tanned leather piece from Gasabo.,leather,vegetable tanned leather,Gasabo,141000,ART055
MIR0139,Statement Bracelet,lightweight for daily use. brass piece from Nyarugenge.,jewellery,brass,Nyarugenge,33000,ART031
MIR0140,Elegant Tailored Shirt,comfortable daily wear. kitenge cotton piece from Rubavu.,apparel,kitenge cotton,Rubavu,47500,ART015
MIR0141,Durable Tote Bag,ideal gift for women. cow leather piece from Kayonza.,leather,cow leather,Kayonza,39500,ART066
MIR0142,Soft Tote Bag,ideal gift for women. full grain leather piece from Muhanga.,leather,full grain leather,Muhanga,50500,ART080
MIR0143,Textured Wall Hanging,designed for small spaces. banana fiber piece from Nyarugenge.,home-decor,banana fiber,Nyarugenge,11500,ART044
MIR0144,Traditional Fruit Basket,handwoven by cooperatives. sisal piece from Kicukiro.,basketry,sisal,Kicukiro,24500,ART005
MIR0145,Hand-Stitched Tote Bag,everyday city use. goat leather piece from Nyanza.,leather,goat leather,Nyanza,134000,ART061
MIR0146,Durable Tote Bag,ideal gift for women. goat leather piece from Nyarugenge.,leather,goat leather,Nyarugenge,117500,ART027
MIR0147,Hand-Stitched Wallet,cadeau en cuir pour femme. full grain leather piece from Bugesera.,leather,full grain leather,Bugesera,96500,ART010
MIR0148,Durable Passport Case,everyday city use. cuir artisanal piece from Muhanga.,leather,cuir artisanal,Muhanga,31000,ART007
MIR0149,Durable Passport Case,clean handmade stitching. goat leather piece from Muhanga.,leather,goat leather,Muhanga,124500,ART039
MIR0150,Elegant Festival Top,locally tailored fit. organic cotton piece from Nyagatare.,apparel,organic cotton,Nyagatare,18500,ART049
MIR0151,Bright Beaded Necklace,small artisan workshop. silver tone metal piece from Nyarugenge.,jewellery,silver tone metal,Nyarugenge,34000,ART010
MIR0152,Modern Wall Hanging,simple artisan finish. sisal piece from Karongi.,home-decor,sisal,Karongi,38000,ART027
MIR0153,Everyday Festival Top,bold print accents. kitenge cotton piece from Karongi.,apparel,kitenge cotton,Karongi,11500,ART003
MIR0154,Decorative Storage Basket,handwoven by cooperatives. banana fiber piece from Nyagatare.,basketry,banana fiber,Nyagatare,41000,ART011
MIR0155,Classic Wrap Skirt,bold print accents. organic cotton piece from Musanze.,apparel,organic cotton,Musanze,43500,ART017
MIR0156,Decorative Agaseke Basket,handwoven by cooperatives. raffia piece from Gasabo.,basketry,raffia,Gasabo,15000,ART041
MIR0157,Classic Passport Case,cadeau en cuir pour femme. cow leather piece from Gicumbi.,leather,cow leather,Gicumbi,115000,ART052
MIR0158,Traditional Storage Basket,natural texture finish. raffia piece from Rusizi.,basketry,raffia,Rusizi,15000,ART023
MIR0159,Delicate Earrings,small artisan workshop. brass piece from Kayonza.,jewellery,brass,Kayonza,6000,ART007
MIR0160,Bright Pendant Set,lightweight for daily use. glass beads piece from Rubavu.,jewellery,glass beads,Rubavu,45000,ART045
MIR0161,Everyday Tailored Shirt,hand-finished seams. linen blend piece from Nyagatare.,apparel,linen blend,Nyagatare,29000,ART033
MIR0162,Warm Table Runner,simple artisan finish. banana fiber piece from Kicukiro.,home-decor,banana fiber,Kicukiro,86000,ART044
MIR0163,Premium Crossbody Bag,ideal gift for women. goat leather piece from Muhanga.,leather,goat leather,Muhanga,34500,ART087
MIR0164,Artisan Tailored Shirt,hand-finished seams. kitenge cotton piece from Huye.,apparel,kitenge cotton,Huye,60500,ART011
MIR0165,Lightweight Agaseke Basket,natural texture finish. banana fiber piece from Nyanza.,basketry,banana fiber,Nyanza,44000,ART007
MIR0166,Soft Wallet,cadeau en cuir pour femme. vegetable tanned leather piece from Nyanza.,leather,vegetable tanned leather,Nyanza,148500,ART017
MIR0167,Gift-Ready Beaded Necklace,lightweight for daily use. horn piece from Karongi.,jewellery,horn,Karongi,68000,ART034
MIR0168,Gift-Ready Beaded Necklace,inspired by local motifs. horn piece from Rusizi.,jewellery,horn,Rusizi,9500,ART031
MIR0169,Durable Passport Case,finished by local artisans. cow leather piece from Karongi.,leather,cow leather,Karongi,19500,ART060
MIR0170,Handmade Ceramic Vase,adds warmth to living room. sisal piece from Gicumbi.,home-decor,sisal,Gicumbi,83500,ART020
MIR0171,Soft Belt,clean handmade stitching. goat leather piece from Nyanza.,leather,goat leather,Nyanza,88500,ART068
MIR0172,Durable Passport Case,ideal gift for women. goat leather piece from Bugesera.,leather,goat leather,Bugesera,75000,ART006
MIR0173,Premium Card Holder,finished by local artisans. vegetable tanned leather piece from Nyarugenge.,leather,vegetable tanned leather,Nyarugenge,80500,ART071
MIR0174,Warm Cushion Cover,crafted for everyday decor. banana fiber piece from Nyanza.,home-decor,banana fiber,Nyanza,67500,ART029
MIR0175,Everyday Wrap Skirt,locally tailored fit. kitenge cotton piece from Nyanza.,apparel,kitenge cotton,Nyanza,13000,ART060
MIR0176,Elegant Light Jacket,locally tailored fit. linen blend piece from Rwamagana.,apparel,linen blend,Rwamagana,19000,ART031
MIR0177,Classic Tote Bag,clean handmade stitching. cuir artisanal piece from Gicumbi.,leather,cuir artisanal,Gicumbi,148500,ART053
MIR0178,Textured Wall Hanging,crafted for everyday decor. banana fiber piece from Karongi.,home-decor,banana fiber,Karongi,89500,ART068
MIR0179,Modern Wall Hanging,crafted for everyday decor. sisal piece from Nyanza.,home-decor,sisal,Nyanza,37000,ART016
MIR0180,Minimal Anklet,lightweight for daily use. silver tone metal piece from Karongi.,jewellery,silver tone metal,Karongi,36000,ART067
MIR0181,Modern Wood Candle Holder,designed for small spaces. kitenge cotton piece from Rusizi.,home-decor,kitenge cotton,Rusizi,67000,ART054
MIR0182,Textured Wood Candle Holder,crafted for everyday decor. ceramic piece from Nyarugenge.,home-decor,ceramic,Nyarugenge,35500,ART059
MIR0183,Soft Sandals,clean handmade stitching. vegetable tanned leather piece from Nyagatare.,leather,vegetable tanned leather,Nyagatare,126000,ART024
MIR0184,Durable Tote Bag,finished by local artisans. full grain leather piece from Kicukiro.,leather,full grain leather,Kicukiro,103500,ART059
MIR0185,Delicate Earrings,hand-assembled details. horn piece from Rubavu.,jewellery,horn,Rubavu,18000,ART073
MIR0186,Functional Wall Basket,crafted in small batches. banana fiber piece from Karongi.,basketry,banana fiber,Karongi,31500,ART023
MIR0187,Premium Crossbody Bag,clean handmade stitching. cuir artisanal piece from Rubavu.,leather,cuir artisanal,Rubavu,50500,ART069
MIR0188,Modern Tailored Shirt,locally tailored fit. linen blend piece from Bugesera.,apparel,linen blend,Bugesera,20500,ART082
MIR0189,Statement Anklet,small artisan workshop. glass beads piece from Rusizi.,jewellery,glass beads,Rusizi,49000,ART070
MIR0190,Classic Sandals,clean handmade stitching. goat leather piece from Rubavu.,leather,goat leather,Rubavu,56000,ART057
MIR0191,Minimal Ceramic Vase,designed for small spaces. ceramic piece from Huye.,home-decor,ceramic,Huye,52000,ART040
MIR0192,Soft Tote Bag,cadeau en cuir pour femme. vegetable tanned leather piece from Rusizi.,leather,vegetable tanned leather,Rusizi,96000,ART079
MIR0193,Everyday Tailored Shirt,bold print accents. kitenge cotton piece from Kayonza.,apparel,kitenge cotton,Kayonza,27500,ART077
MIR0194,Minimal Cushion Cover,crafted for everyday decor. ceramic piece from Rusizi.,home-decor,ceramic,Rusizi,59500,ART045
MIR0195,Modern Festival Top,bold print accents. linen blend piece from Musanze.,apparel,linen blend,Musanze,62500,ART037
MIR0196,Modern Festival Top,hand-finished seams. linen blend piece from Kayonza.,apparel,linen blend,Kayonza,50500,ART089
MIR0197,Decorative Woven Tray,natural texture finish. sisal piece from Karongi.,basketry,sisal,Karongi,30000,ART010
MIR0198,Handmade Wall Hanging,designed for small spaces. wood piece from Nyanza.,home-decor,wood,Nyanza,31000,ART059
MIR0199,Modern Tailored Shirt,comfortable daily wear. organic cotton piece from Muhanga.,apparel,organic cotton,Muhanga,25000,ART033
MIR0200,Classic Crossbody Bag,everyday city use. cuir artisanal piece from Rubavu.,leather,cuir artisanal,Rubavu,35000,ART078
MIR0201,Delicate Earrings,small artisan workshop. brass piece from Huye.,jewellery,brass,Huye,16000,ART041
MIR0202,Textured Wood Candle Holder,designed for small spaces. kitenge cotton piece from Rusizi.,home-decor,kitenge cotton,Rusizi,16500,ART070
MIR0203,Durable Tote Bag,clean handmade stitching. vegetable tanned leather piece from Kayonza.,leather,vegetable tanned leather,Kayonza,142500,ART026
MIR0204,Classic Kitenge Dress,bold print accents. organic cotton piece from Nyagatare.,apparel,organic cotton,Nyagatare,61000,ART056
MIR0205,Artisan Tailored Shirt,hand-finished seams. organic cotton piece from Kicukiro.,apparel,organic cotton,Kicukiro,42000,ART085
MIR0206,Modern Wrap Skirt,hand-finished seams. kitenge cotton piece from Rwamagana.,apparel,kitenge cotton,Rwamagana,46000,ART080
MIR0207,Classic Light Jacket,hand-finished seams. linen blend piece from Gicumbi.,apparel,linen blend,Gicumbi,17500,ART052
MIR0208,Traditional Fruit Basket,natural texture finish. raffia piece from Musanze.,basketry,raffia,Musanze,32500,ART046
MIR0209,Elegant Wrap Skirt,bold print accents. kitenge cotton piece from Kayonza.,apparel,kitenge cotton,Kayonza,11000,ART003
MIR0210,Premium Belt,clean handmade stitching. cow leather piece from Rusizi.,leather,cow leather,Rusizi,147000,ART066
MIR0211,Lightweight Storage Basket,natural texture finish. sisal piece from Nyagatare.,basketry,sisal,Nyagatare,13500,ART017
MIR0212,Lightweight Agaseke Basket,natural texture finish. banana fiber piece from Karongi.,basketry,banana fiber,Karongi,36500,ART032
MIR0213,Artisan Wrap Skirt,comfortable daily wear. linen blend piece from Gicumbi.,apparel,linen blend,Gicumbi,31000,ART085
MIR0214,Bright Earrings,hand-assembled details. glass beads piece from Rusizi.,jewellery,glass beads,Rusizi,42500,ART073
MIR0215,Gift-Ready Earrings,small artisan workshop. silver tone metal piece from Nyarugenge.,jewellery,silver tone metal,Nyarugenge,74000,ART052
MIR0216,Bright Beaded Necklace,lightweight for daily use. brass piece from Rubavu.,jewellery,brass,Rubavu,11000,ART049
MIR0217,Classic Light Jacket,comfortable daily wear. kitenge cotton piece from Gasabo.,apparel,kitenge cotton,Gasabo,56500,ART008
MIR0218,Classic Wrap Skirt,locally tailored fit. kitenge cotton piece from Huye.,apparel,kitenge cotton,Huye,55000,ART059
MIR0219,Warm Cushion Cover,simple artisan finish. kitenge cotton piece from Nyarugenge.,home-decor,kitenge cotton,Nyarugenge,29500,ART006
MIR0220,Soft Card Holder,clean handmade stitching. vegetable tanned leather piece from Nyagatare.,leather,vegetable tanned leather,Nyagatare,25000,ART074
